DOI,Q
10.1071/MU16003,Q73166334
10.1111/jfb.12857,Q35875370
10.3897/zookeys.319.4342,Q22679808
10.1371/journal.pone.0031362,Q21134784
10.1016/j.marpol.2015.10.010,Q57938568
10.1080/17524032.2013.850108,Q73168963
10.1088/0004-637X/768/2/127,Q57258137
10.1088/0004-637X/754/2/129,Q57719806
10.1088/0004-6256/145/6/151,Q57819730
10.1111/j.1365-2966.2011.19932.x,Q57719804
10.1088/0004-637X/776/1/10,Q57719796
10.1088/0004-6256/148/2/28,Q56679922
10.1080/10630730903090289,Q73168183
10.1007/s00484-011-0457-y,Q33937078
10.1016/j.marpolbul.2012.08.020,Q39549781
10.1108/AJIM-11-2015-0182,Q58795250
10.1111/tran.12022,Q73174929
10.3138/cart.50.2.2662,Q73184025
10.1016/j.chb.2015.05.051,Q73139755
10.1016/j.geoforum.2006.07.009,Q73140414
10.1016/j.matpolbul.2015.11.006,Q73141155
10.1007/s10900-014-9968-x,Q38267759
10.2307/2137356,Q73183950
10.1177/000271602237426,Q73177259
10.1002/ecs2.1351,Q73119835
10.1080/14498596.2013.801331,Q73168832
10.1016/j.ijdrr.2015.08.005,Q73140664
10.3390/f5081815,Q73184743
10.1002/aqc.2219,Q73119646
10.1186/gb-2012-13-5-158,Q28727712
10.1007/s11165-014-9430-1,Q73135170
10.3354/esr00617,Q73184619
10.1002/asna.201311888,Q57497389
10.1177/0963662512459315,Q45950841
10.1111/j.1600-0587.2009.05891.x,Q73173815
10.1111/j.1365-2699.2010.02345.x,Q73173679
10.1016/j.jmb.2015.11.013,Q34515085
10.1016/j.geoforum.2010.08.003,Q55954184
10.1029/2005JE002462,Q73165808
10.1080/09505430903194504,Q73168027
10.1080/19378629.2011.650641,Q73169735
10.1016/B978-1-4377-7813-7.00022-7,Q73137330
10.1007/s10531-005-8390-1,Q56554268
10.1890/1540-9295-11.10.565,Q57424752
10.13031/2013.42512,Q74021681
10.1021/es405170k,Q38208064
10.2752/175303713X13636846944240,Q57637066
10.1177/0963662508096781,Q48812146
10.1177/1075547003262665,Q73180413
10.1007/s11024-006-0012-x,Q73135103
10.1080/09505431.2013.786997,Q73168032
10.1016/S1462-9011(03)00077-7,Q73142073
10.1126/science.300.5628.2026,Q73175011
10.3152/030234211X13070021633440,Q73184053
10.2307/j.ctt1ggjk8w.5,Q74021684
10.1017/S0047279415000124,Q73165711
10.1162/LEON_a_00440,Q74021686
10.1002/hast.399,Q48059142
10.1159/000092659,Q30354712
10.1177/0963662510363054,Q60020849
10.1111/j.1541-1338.2011.00489.x,Q73173808
10.1177/1440783314562503,Q73180522
10.1177/0963662508096780,Q73177417
10.1007/s10584-013-0763-y,Q73133926
10.1177/1075547012466389,Q40577762
10.1177/1075547013492436,Q73180475
10.1371/journal.pbio.1001707,Q35050221
10.1080/09505431.2014.917620,Q73168036
10.1080/02560046.2015.1050302,Q73167104
10.1016/j.gloenvcha.2014.09.006,Q73140453
10.1126/science.299.5609.977,Q72999639
10.1017/S0021932005000945,Q46807995
10.1177/0963662514560489,Q40242450
10.1111/josi.12035,Q58236666
10.21273/HORTTECH.20.3.522,Q74021688
10.1504/IJDMMM.2015.067632,Q73183393
10.1016/j.geoforum.2011.07.010,Q73140423
10.1016/j.isprsjprs.2015.04.002,Q73140690
10.5751/ES-04705-170229,Q56554258
10.1021/es203880p,Q42639020
10.1177/1075547015612787,Q73180495
10.1111/gec3.12223,Q73173601
10.1080/00330124.2015.1054750,Q73167036
10.1177/0963662511428045,Q45325600
10.1057/biosoc.2010.1,Q73166280
10.1007/s11948-011-9331-x,Q53141165
10.1108/AJIM-10-2014-0137,Q58899753
10.1080/21548455.2015.1004380,Q73169752
10.1177/0963662514549141,Q42683914
10.1080/09505431.2012.705272,Q73168030
10.1007/s11948-011-9312-0,Q48106301
10.1177/096366250508098581,Q73177407
10.1145/2389176.2389188,Q56741170
10.1177/0963662512471911,Q45959217
10.1109/JSEN.2013.2265936,Q57352643
10.1289/ehp.6196,Q24816790
10.1177/1468794109343630,Q73180528
10.1111/j.1467-9671.2010.01203.x,Q55833513
10.3390/ijgi4031657,Q73184890
10.1145/2038558.2038565,Q73175128
10.1007/s10661-015-4912-9,Q30387279
10.1016/j.ecoser.2014.10.004,Q73140038
10.1890/09-0040.1,Q33560128
10.1111/2041-210X.12221,Q57030557
10.1002/jwmg.1003,Q73121405
10.1890/11-2059.1,Q44270425
10.1111/1365-2435.12178,Q56227997
10.1121/1.3676738,Q50431206
10.1007/s10531-005-8406-x,Q56554260
10.1016/j.gloenvcha.2014.12.003,Q56436149
10.1007/s10661-014-4022-0,Q30847080
10.1080/17538947.2013.839008,Q60400704
10.1371/journal.pone.0091650,Q28657808
10.1109/MIS.2013.126,Q59410306
10.1016/j.biocon.2013.05.025,Q56985703
10.1155/2016/8645650,Q59121487
10.1007/s10841-009-9221-6,Q57004636
10.1016/j.socscimed.2011.10.029,Q48704660
10.1899/08-082.1,Q73183865
10.1016/j.marpolbul.2015.09.054,Q35809281
10.1609/aimag.v35i2.2527,Q73183522
10.1525/bio.2011.61.1.11,Q73183439
10.1007/s10980-013-9964-z,Q73134292
10.1007/s12562-016-0967-y,Q59476285
10.1177/0963662514548629,Q50636345
10.1016/j.ocecoaman.2015.11.004,Q73141413
10.1177/0963662513482614,Q57761872
10.1002/wcc.403,Q73121673
10.1080/14697017.2015.1128168,Q29543592
10.1177/1075547012454598,Q73180459
10.1177/1096026611414347,Q73180508
10.1080/17583004.2014.997078,Q74021711
10.1890/09-0877.1,Q33803181
10.1016/j.jenvman.2015.08.044,Q35803298
10.1177/0963662511429412,Q39327751
10.1016/j.apgeog.2013.07.008,Q73139173
10.1016/j.fishres.2008.08.017,Q73140345
10.1016/j.jaridenv.2014.07.008,Q73140717
10.3390/su4061239,Q73186694
10.1068/a41400,Q62958354
10.1126/science.350.6260.518-b,Q47925897
10.1177/1075547004268463,Q73180414
10.1177/1075547004273091,Q73180416
10.3197/096327114X13947900181077,Q73184585
10.1007/s10734-013-9631-y,Q73134236
10.1007/s10763-014-9569-2,Q57552469
10.1080/00045608.2011.595657,Q57308419
10.1111/ropr.12114,Q73174876
10.1057/biosoc.2012.21,Q57616574
10.1586/ERM.12.125,Q38068224
10.1111/j.1539-6924.2010.01517.x,Q39818354
10.1111/geoj.12042,Q73173609
10.1890/090160,Q57208976
10.1098/rsta.2010.0163,Q43829373
10.1111/hex.12295,Q37321297
10.1111/cag.12137,Q73172120
10.1146/annurev.publhealth.19.1.173,Q29616115
10.5852/ejt.2015.128,Q42273432
10.5852/ejt.2014.92,Q42273900
10.1007/s00484-015-1053-3,Q26797364
10.1007/s11569-015-0239-9,Q73135227
10.1080/13569783.2011.589994,Q73168240
10.1111/ropr.12129,Q60020819
10.7589/0090-3558-34.2.281,Q74021740
10.1007/s10344-013-0757-0,Q73133299
10.1371/journal.pone.0103640,Q33968647
10.1073/pnas.1313039111,Q24206632
10.1016/j.compenvurbsys.2013.07.006,Q59388261
10.1016/j.jclepro.2014.08.063,Q73140723
10.1371/journal.pone.0145033,Q35867460
10.1088/0952-4746/36/2/S82,Q38857076
10.1080/00103620009370533,Q73166949
10.1080/17489725.2016.1170216,Q58514425
10.1002/sce.20414,Q73121552
10.1007/s10661-015-4473-y,Q40958081
10.1017/S0007087413000344,Q33582009
10.2217/PME.11.97,Q73183922
10.1057/bp.2014.13,Q73166284
10.1111/bjet.12010,Q73172112
10.22323/2.15010203,Q73472456
10.1080/095006999290363,Q73168017
10.1111/j.1095-8339.2011.01150.x,Q73173657
10.1089/ten.tea.2013.0292,Q45856900
10.1177/1350508408098924,Q73180509
10.1098/rsta.2011.0177,Q38568160
10.1177/1075547012458910,Q73180461
10.1111/j.1399-0004.2006.00693.x,Q42699003
10.1038/nbt0609-514,Q57699048
10.1126/science.1250515,Q30817652
10.5751/ES-02602-1302r01,Q74021751
10.1002/tea.21130,Q73121584
10.1177/1075547016632537,Q73180496
10.1080/03036758.2015.1028415,Q73167120
10.22323/2.15030207,Q58913329
10.1016/j.envsci.2015.01.013,Q73140085
10.1080/14636778.2013.764072,Q73168875
10.1080/1523908X.2011.564414,Q73168939
10.1111/1365-2664.12463,Q37185556
10.1080/09537320120040419,Q73168064
10.5751/ACE-00425-050210,Q74021755
10.1177/0963662512449598,Q73177476
10.1016/j.crvi.2011.02.007,Q33922607
10.1139/er-2012-0035,Q73175115
10.1080/09500690500069483,Q55884076
10.1093/biosci/biu021,Q60368559
10.1016/j.trstmh.2011.08.006,Q44160370
10.1086/649368,Q74021757
10.1371/journal.pone.0148867,Q35935403
10.1002/tea.21186,Q73121589
10.1371/journal.pone.0090375,Q28660490
10.1002/cpe.1597,Q73119716
10.1186/1471-2105-10-S14-S6,Q28750242
10.4031/MTSJ.49.4.3,Q60571971
10.1111/j.0021-8790.2004.00807.x,Q57273059
10.1016/j.marchem.2014.01.005,Q73141106
10.1371/journal.pone.0096772,Q30818683
10.1080/07341512.2011.573265,Q73167152
10.1007/s10722-011-9662-0,Q73134235
10.1016/S0197-3975(03)00005-5,Q73142058
10.1215/00141801-2010-002,Q73183057
10.1186/s40168-015-0138-x,Q35865282
10.1016/j.compenvurbsys.2015.04.002,Q73139955
10.3390/ijgi2030766,Q73184866
10.1080/17439884.2010.494432,Q58938666
10.1002/asi.23202,Q53505839
10.1016/j.tree.2013.12.008,Q30357509
10.5670/oceanog.2015.16,Q73230677
10.1111/cobi.12478,Q35586616
10.3354/cr01294,Q73184607
10.22323/2.14030302,Q74021758
10.1890/1540-9295(2006)4[414:SMTNWD]2.0.CO;2,Q73183858
10.1093/jee/tov014,Q35808972
10.1111/j.1523-1739.2010.01479.x,Q33546055
10.1068/a44482,Q73166305
10.1068/a45161,Q73166309
10.1080/09505431.2010.524200,Q58822510
10.1002/ece3.888,Q26823260
10.1080/03632415.2015.1049693,Q56432721
10.1002/eet.1587,Q73119860
10.1016/j.landurbplan.2015.02.020,Q73141064
10.1578/AM.42.1.2016.12,Q73183491
10.1080/10807039.2014.947866,Q73168195
10.1016/j.cageo.2012.06.015,Q73139747
10.1038/embor.2009.43,Q37168563
10.1016/j.geoforum.2008.12.002,Q57935242
10.1105/tpc.107.053587,Q44931950
10.1093/mnras/stv1965,Q60024076
10.1002/2015SW001167,Q73117281
10.5194/bg-13-253-2016,Q54996816
10.1007/s10641-010-9739-1,Q73133939
10.1016/j.hal.2012.02.007,Q73140656
10.1016/j.eswa.2015.10.010,Q73140332
10.1080/15230406.2013.874200,Q28651718
10.1016/j.compenvurbsys.2009.11.001,Q73139794
10.1016/j.apgeochem.2014.03.012,Q73139151
10.1890/09-1340.1,Q33803175
10.1111/all.12433,Q40205077
10.1371/journal.pone.0031662,Q21560868
10.3390/f6010244,Q73184761
10.1890/ES14-00433.1,Q73183860
10.1177/0963662512451969,Q51771517
10.1111/j.1548-1433.2012.01425.x,Q57431436
10.1177/0963662509354543,Q73177437
10.1007/s10961-010-9175-6,Q73134288
10.1016/j.tim.2014.04.005,Q50664057
10.1016/j.cviu.2012.11.014,Q56926360
10.1016/j.physa.2014.10.076,Q73141453
10.1098/rsbl.2014.0698,Q30420475
10.1016/j.biocon.2013.07.037,Q58088017
10.2217/rme.13.94,Q73183927
10.1080/09505430802603837,Q73168020
10.3138/carto.50.1.09,Q73184040
10.1111/j.1539-6924.2010.01484.x,Q33679306
10.5334/cstp.6,Q58711368
10.1177/0885412206295842,Q73177395
10.1159/000279621,Q33869885
10.3390/f5102425,Q73184746
10.1111/2041-210X.12175,Q73172062
10.1177/0963662513498202,Q44040418
10.5194/hess-15-703-2011,Q73230543
10.1111/anti.12056,Q73172093
10.1111/j.1468-5914.2009.00429.x,Q74021781
10.1177/1050651912448871,Q73180406
10.1007/s10530-013-0530-z,Q56455798
10.1111/j.1467-9671.2012.01318.x,Q73173738
10.1002/asi.22633,Q57285214
10.3390/rs6109691,Q73186547
10.1016/j.ecolecon.2012.04.024,Q73140014
10.1080/09640568.2014.976699,Q73168092
10.1016/j.future.2015.05.006,Q73140387
10.1177/0096340214531180,Q73177280
10.1093/scipol/scu034,Q73170051
10.5751/ES-06665-190407,Q73230708
10.1007/s13280-015-0710-4,Q31012101
10.1007/s11948-011-9306-y,Q48603921
10.1016/S1353-8292(98)00032-X,Q40778809
10.1109/CTS.2014.6867533,Q74021788
10.1007/s10806-011-9358-7,Q73134250
10.1016/j.socscimed.2008.10.002,Q37132319
10.1002/wcc.234,Q73121652
10.1080/00219266.2013.764341,Q73166977
10.1080/03098265.2015.1086981,Q57020612
10.3366/anh.2012.0062,Q73184641
10.1145/2700518,Q73175146
10.1007/s11948-011-9303-1,Q73135265
10.1007/s13753-016-0086-5,Q59463619
10.1177/1468794112468468,Q58051196
10.1177/1474474014556062,Q73180530
10.1007/s11569-013-0175-5,Q60725269
10.3390/ijgi5010005,Q59388258
10.1080/12538078.2015.1080187,Q56440781
10.1111/een.12203,Q36097047
10.1177/1368431008099647,Q73180518
10.1007/s10531-011-0094-0,Q56554266
10.1111/j.1365-2753.2012.01876.x,Q45015632
10.1080/21548455.2015.1133094,Q73169758
10.2217/PME.10.74,Q73183920
10.22323/2.15010206,Q73472444
10.1111/geb.12251,Q73173589
10.1177/0963662513501741,Q30559791
10.1016/j.ecoinf.2011.03.002,Q73140003
10.4031/MTSJ.45.5.4,Q74021792
10.1177/0963662513503772,Q30388343
10.1111/j.1365-2664.2012.02174.x,Q60537383
10.1111/bij.12548,Q57038122
10.1007/s11948-011-9296-9,Q35624389
10.1111/ropr.12102,Q62127248
10.1080/14636778.2013.788356,Q73168879
10.4404/hystrix-25.2-9988,Q73230517
10.1080/10511482.2011.634427,Q73168171
10.1016/j.landurbplan.2014.01.020,Q73141059
10.1080/14636778.2013.764070,Q73168865
10.1111/bij.12518,Q56433004
10.14430/arctic4447,Q56554275
10.1002/gdj3.30,Q57636531
10.1890/110236,Q73183805
10.1080/10630732.2014.942167,Q73168189
10.9781/ijimai.2015.322,Q73230973
10.1111/j.1365-2966.2011.20125.x,Q57719812
10.1108/13639511311302452,Q57574043
10.1080/00045608.2013.776880,Q57924548
10.1016/j.biocon.2013.11.003,Q56554300
10.1016/j.applanim.2005.04.003,Q57193527
10.2196/jmir.2499,Q28297114
10.1377/hlthaff.2015.1392,Q30386472
10.1007/s10531-005-8391-0,Q56554261
10.5751/ES-06641-190269,Q73230703
10.1002/aic.14461,Q73119576
10.3390/s121217504,Q28708979
10.1016/j.apgeog.2012.06.002,Q73139164
10.1111/1749-4877.12151,Q30982074
10.1016/j.gloenvcha.2009.01.006,Q73140443
10.1177/0963662515602848,Q35765132
10.1080/00045608.2014.988099,Q73166387
10.1068/c1245j,Q73166322
10.1080/15230406.2014.890546,Q28602844
10.1016/j.cageo.2012.04.021,Q73139745
10.1080/00221341.2013.801506,Q73166988
10.1038/nrg1182,Q35550195
10.1111/cura.12008,Q73172206
10.1016/j.landurbplan.2015.08.007,Q73141065
10.1890/110278,Q73183820
10.1007/s00484-014-0821-9,Q38421252
10.1111/j.1541-0064.2010.00344.x,Q73173797
10.1002/tea.3660210902,Q73121607
10.1177/0963662511434894,Q44257338
10.1093/biosci/biw026,Q73169916
10.1017/S0305741013000349,Q73165730
10.1016/j.spacepol.2014.08.009,Q73141953
10.1525/abt.2014.76.5.5,Q73183426
10.1371/journal.pone.0106508,Q21558485
10.1287/isre.2014.0537,Q55967307
10.1002/wcc.168,Q58066205
10.1088/0143-0807/36/3/035004,Q73169822
10.1016/j.jhg.2014.11.014,Q73140785
10.1016/j.icarus.2014.10.031,Q59912584
10.1111/j.1365-2966.2012.20770.x,Q56818115
10.1088/0004-637X/755/1/71,Q56818124
10.1088/0067-0049/214/1/3,Q56818040
10.1088/0004-637X/799/2/153,Q68175269
10.2971/jeos.2014.14025,Q73183999
10.1016/j.icarus.2016.01.021,Q58831039
10.1007/s12152-016-9259-6,Q39589610
10.1111/acv.12243,Q57193896
10.1016/j.geomorph.2015.03.013,Q73140438
10.1080/00958960109599132,Q73167058
10.1111/j.1523-1739.2005.00s01.x,Q73173768
10.1559/152304010790588098,Q73183480
10.1016/j.actaastro.2006.01.004,Q73137331
10.1111/nph.12027,Q43476263
10.3897/zookeys.209.3472,Q22678862
10.1371/journal.pone.0135743,Q35777485
10.1109/OCEANS.2012.6404924,Q74021804
10.1007/s10460-008-9172-7,Q73133314
10.1007/s11252-015-0470-8,Q57049576
10.1080/10618600.2013.842174,Q73168180
10.1007/s11013-013-9330-2,Q46589163
10.1177/0162243911430398,Q73177307
10.1016/j.resourpol.2015.11.002,Q73141518
10.1177/0306312713478670,Q60558858
10.1890/100033,Q56752474
10.1002/ecs2.1303,Q58260152
10.1177/0963662513515371,Q50462075
10.1177/0306312706053350,Q73177356
10.1007/s12652-012-0149-4,Q73137238
10.1016/j.jenvman.2008.02.006,Q40090838
10.1016/j.ecoleng.2015.10.028,Q56948404
10.1159/000336671,Q39598417
10.1785/gssrl.80.1.26,Q57819177
10.1371/journal.pone.0112251,Q28652645
10.2193/0091-7648(2006)34[1425:TROCSA]2.0.CO;2,Q73183907
10.3847/0004-6256/151/3/73,Q68927213
10.1002/ece3.1258,Q34784113
10.1039/c1em10615e,Q34006163
10.1080/0269249X.2014.988293,Q73167113
10.1111/jbi.12328,Q57273013
10.3390/land4041200,Q73186528
10.1007/s00484-013-0717-0,Q30663339
10.1093/acprof:oso/9780198718666.003.0017,Q74021820
10.1111/conl.12127,Q73172200
10.1016/j.cosust.2012.10.008,Q56554296
10.1080/09500693.2010.551430,Q73168009
10.1016/j.drugpo.2014.01.015,Q44343615
10.3828/twpr.23.3.fm4q702t823g152v,Q73186782
10.1177/1075547015574015,Q73180480
10.1109/GEOINFORMATICS.2010.5567728,Q74021822
10.1016/j.ocecoaman.2010.10.021,Q73141390
10.1016/j.eiar.2003.12.002,Q58882686
10.1684/ers.2013.0631,Q73183569
10.1111/rec.12188,Q73174865
10.1177/0963662511399685,Q73177456
10.1068/a37387,Q73166300
10.22323/2.14020203,Q74021824
10.1016/j.biocon.2011.07.024,Q57232048
10.1007/s10739-011-9272-x,Q48446598
10.1111/1467-9566.12400,Q38560573
10.1002/2014SW001119,Q57719780
10.1177/030631200030001005,Q30742410
10.1080/00045608.2012.707596,Q58286269
10.1649/0010-065X-67.4.532,Q73183536
10.1371/journal.pone.0086226,Q37505628
10.22323/2.15010401,Q73472457
10.1080/00330124.2011.614571,Q73167025
10.1177/0963662511414982,Q73177465
10.5334/cstp.65,Q56687036
10.1080/03036758.2015.1051549,Q58067082
10.1111/bij.12530,Q56973341
10.1016/j.compenvurbsys.2008.08.004,Q57902403
10.1080/09500690701494092,Q73168004
10.1080/08941920.2014.919168,Q58647979
10.1111/j.1523-1739.2011.01740.x,Q46436435
10.1111/j.1365-2818.2010.03402.x,Q33758815
10.5334/cstp.1,Q58711744
10.1371/journal.pone.0045822,Q34033799
10.1007/s11948-012-9423-2,Q45768637
10.1016/j.healthpol.2005.10.009,Q36335743
10.1186/s12966-015-0307-0,Q36321983
10.1145/2675133.2675235,Q73175143
10.1002/(SICI)1098-237X(200003)84:2<265::AID-SCE7>3.0.CO;2-5,Q73116710
10.1016/j.seares.2014.07.008,Q60234120
10.1371/journal.pone.0110329,Q28650019
10.1016/j.jhydrol.2016.01.036,Q73140789
10.7717/peerj.523,Q34147435
10.1177/0971721814548115,Q73180396
10.3402/polar.v35.24980,Q58178700
10.1080/09669582.2012.699059,Q73168115
10.1007/s11948-009-9134-5,Q73135258
10.1177/0963662515609005,Q31005294
10.1177/1075547012460845,Q73180465
10.1080/08941920600742344,Q73167995
10.1080/13658816.2013.800871,Q73168721
10.1109/TVT.2014.2367029,Q73171987
10.1080/00045600903364259,Q58183005
10.1007/s10531-013-0596-z,Q56554297
10.1080/13658816.2015.1077962,Q56419676
10.1080/14498596.2015.972996,Q73168833
10.3390/ijgi1030315,Q55833542
10.1080/13658816.2012.721552,Q73168716
10.1016/S0964-5691(01)00054-0,Q73142070
10.1186/1476-069X-8-6,Q28387798
10.3138/carto.50.1.08,Q73184039
10.1080/13698570600871869,Q73168824
10.7717/peerj.1410,Q31029237
10.1016/j.pss.2010.10.005,Q73141497
10.1007/s11569-014-0197-7,Q73135222
10.1590/S1413-41522015020000108213,Q73183511
10.1080/00219266.2013.801872,Q73166980
10.1553/giscience2014s276,Q73183477
10.1139/er-2015-0041,Q73175117
10.1111/j.1365-2664.2005.01050.x,Q57532416
10.5751/ES-07578-200314,Q73230714
10.1111/eth.12199,Q73172264
10.3390/s151025663,Q36252264
10.1111/j.1752-1688.2012.00670.x,Q73173819
10.1111/j.1369-7625.2012.00803.x,Q37333705
10.1080/15265161003743497,Q48818377
10.1186/1472-6963-14-318,Q28655114
10.1177/0963662513476404,Q73180331
10.1111/bij.12515,Q60467976
10.1016/j.biocon.2014.11.012,Q59160525
10.1007/s10584-012-0424-6,Q58485788
10.1080/09500690903514598,Q73168007
10.1177/0306312713508669,Q53522547
10.1016/j.ocecoaman.2015.06.014,Q73141409
10.1111/j.1467-9671.2012.01302.x,Q56805146
10.22323/2.15020202,Q73472460
10.1007/s00267-014-0373-0,Q30853615
10.1371/journal.pone.0088473,Q35099571
10.1007/s10841-014-9676-y,Q54742781
10.1007/s11069-015-1918-0,Q73135128
10.1111/conl.12023,Q57007347
10.1080/08941920.2015.1054976,Q57230183
10.5751/ES-01673-110124,Q74021830
10.22323/2.15030204,Q73472471
10.1080/00045608.2014.910087,Q58285117
10.1890/13-1848.1,Q57212504
10.1890/09-1546.1,Q33803187
10.1353/jhe.2016.0016,Q73183098
10.1016/j.sajb.2013.02.079,Q73141541
10.1007/s10530-013-0604-y,Q56453255
10.1177/0963662513517071,Q47594263
10.1177/0963662507079902,Q58051206
10.1080/17538947.2014.881427,Q57510745
10.1177/1075547015588601,Q73180487
10.1093/scipol/sct073,Q73170040
10.1016/j.jenvman.2011.01.012,Q33816482
10.1080/21548455.2013.855353,Q73169741
10.5751/ES-04758-170227,Q73230695
10.1111/j.1467-9671.2010.01206.x,Q73173734
10.1080/13658816.2015.1018266,Q57954320
10.1590/S0034-759020150305,Q73183507
10.1111/cobi.12083,Q34732552
10.1017/S0376892910000305,Q73165749
10.1016/j.ecoinf.2015.06.003,Q73140007
10.1080/07438140409354355,Q74021834
10.1080/00140139.2014.909950,Q45949730
10.1080/13658816.2010.490532,Q73168247
10.1021/es100164c,Q33601767
10.1111/j.1540-6210.2011.02226.x,Q73173796
10.1007/s10531-014-0810-7,Q73133914
10.1021/ed400517q,Q60430699
10.1525/abt.2010.72.7.9,Q73183421
10.1894/SWNAT-D-14-00005.1,Q73183862
10.1016/j.biocon.2015.09.002,Q59239315
10.1371/journal.pone.0068037,Q30000789
10.1111/j.1523-1739.2010.01567.x,Q52708593
10.1002/2015SW001320,Q73119561
10.1175/BAMS-D-13-00247.1,Q57965455
10.1016/j.biocon.2013.12.020,Q73139291
10.1080/00063657.2013.874975,Q57532402
10.2193/2008-512,Q73183909
10.1007/s10841-011-9450-3,Q56156936
10.3184/175815515X14458793959431,Q73184583
10.1016/j.biocon.2015.12.027,Q73139695
10.1890/12-1165.1,Q43514868
10.1111/aje.12052,Q73172090
10.1890/ES14-00212.1,Q56443506
10.7717/peerj.704,Q30887893
10.1111/j.1469-1795.2010.00413.x,Q60572887
10.3354/esr00480,Q73184616
10.1016/j.jag.2012.11.002,Q56805037
10.3390/ijgi1020186,Q73184852
10.1890/140328,Q73183851
10.1111/1365-2664.12579,Q59546522
10.1016/j.biocon2016.01.013,Q73139742
10.1016/j.biocon.2014.11.029,Q57064488
10.3390/ijgi2020349,Q73184856
10.1016/j.biocon.2015.10.009,Q57948851
10.1177/097172180901400205,Q73180394
10.1073/pnas.1320645111,Q34280175
10.1111/mam.12026,Q59198130
10.1017/S0025315413001124,Q58817057
10.17159/2413-3051/2015/v26i2a2195,Q74021835
10.1016/j.landurbplan.2013.09.006,Q73141053
10.1002/jcop.20294,Q37354953
10.1002/fee.1222,Q58260155
10.1080/09669582.2012.693501,Q73168111
10.1111/tgis.12039,Q73174880
10.1007/s10531-010-9882-1,Q73133901
10.1016/j.apgeog.2011.03.003,Q73139160
10.1109/JSTARS.2013.2250257,Q60400738
10.1002/wsb.657,Q73121704
10.1371/journal.pone.0130529,Q35678850
10.1656/045.019.s611,Q73183544
10.1002/2014SW001106,Q73117263
10.1007/s11569-014-0188-8,Q73135220
10.1664/13-RA-009.1,Q73183558
10.1179/1752270611Y.0000000037,Q73180558
10.1177/0963662509347138,Q73177432
10.1109/CW.2010.42,Q73170946
10.1080/00045608.2015.1054252,Q29642933
10.3390/ijgi4010087,Q73184879
10.1109/MCSE.2015.86,Q73171023
10.1109/SocialInformatics.2012.51,Q56294857
10.1016/j.biocon.2016.03.013,Q60297509
10.1080/00288330.2015.1018913,Q73167009
10.1016/j.ocecoaman.2010.06.002,Q73141387
10.1080/07438140209353924,Q74021839
10.1080/08941920490493837,Q73167991
10.2307/1467735,Q73183946
10.1007/s10661-010-1483-7,Q54386305
10.3145/epi.2015.nov.15,Q73184049
10.1111/j.1365-2907.2006.00094.x,Q57532413
10.1071/MF01194,Q73166329
10.1016/j.ecoinf.2015.08.007,Q73140012
10.1007/s10980-015-0262-9,Q57434877
10.1080/13658816.2011.629618,Q66692746
10.1559/15230406382258,Q73183484
10.1016/j.compenvurbsys.2015.09.011,Q73139957
10.1002/lom3.10059,Q73121433
10.1016/j.shpsa.2013.07.014,Q73141918
10.1016/j.geoforum.2008.10.002,Q56428760
10.1016/j.jhydrol.2010.09.007,Q73140786
10.1177/0964663915601166,Q73180392
10.22323/2.15040205,Q74021244
10.22323/2.15010205,Q73472458
10.1007/s10661-013-3221-4,Q57114646
10.1038/414587a,Q58982883
10.1080/13658816.2016.1155214,Q73168757
10.1016/j.ascom.2014.12.006,Q73139239
10.1007/s00484-012-0598-7,Q30574938
10.1162/leon.2005.38.5.383,Q73177245
10.1080/03632415.2015.1049696,Q73167139
10.1007/s00267-010-9607-y,Q34663760
10.1177/0162243911428624,Q73177302
10.1002/9780470692400.ch42,Q73119574
10.1177/0963662512455295,Q46855480
10.1007/s11673-010-9269-8,Q73135251
10.1007/s10531-008-9357-9,Q74021845
10.1093/scipol/scu042,Q73170055
10.1016/j.futures.2009.11.031,Q73140390
10.1177/0963662515579838,Q37044297
10.1111/1467-9566.12370,Q36584615
10.1177/0963662514542565,Q30365001
10.1177/1075547010386972,Q73180429
10.1109/IGARSS.2010.5648819,Q73170988
10.3732/ajb.0900041,Q33915084
10.1371/journal.pone.0046170,Q21090859
10.1016/j.forpol.2012.03.007,Q73140379
10.1016/j.forpol.2013.09.004,Q73140381
10.1177/0001699305056565,Q73177257
10.1007/s10531-005-8416-8,Q56554272
10.1080/00139157.1993.9929114,Q74021850
10.3390/ijgi3031058,Q73184873
10.1007/s11024-012-9197-3,Q60205352
10.1111/geb.12118,Q57060257
10.1016/j.landurbplan.2016.04.001,Q73141075
10.1016/j.jth.2014.12.001,Q73141027
10.1080/09640568.2012.741045,Q58408589
10.1177/0963662510388363,Q73177453
10.1080/08941920490493846,Q73167993
10.1177/0963662512458624,Q47707900
10.1177/0963662513518154,Q47929505
10.1080/11263504.2015.1057266,Q73168210
10.3161/00016454AO2015.50.1.006,Q55967752
10.3897/natureconservation.11.4438,Q73186819
10.1111/cag.12225,Q73172126
10.1007/s10531-005-8417-7,Q73133890
10.1371/journal.pbio.1001118,Q33987318
10.1177/1075547008324385,Q73180425
10.1177/0963662512456128,Q73177485
10.22323/2.15030206,Q73183929
10.1002/bewi.201801901,Q73119691
10.17645/up.v1i2.621,Q64005123
10.1155/2017/4043237,Q73177212
10.1145/2984511.2984533,Q73175172
10.1051/e3sconf/20160716001,Q58885124
10.17705/1CAIS.04002,Q74021808
